case_id,root_cause,confidence,evidence,osi_layer,concept,next_command,fix_steps,human_review_required,status
CASE-011,Incorrect DNS server IP address configured on PC0 or distributed by DHCP server,0.92,"[""ipconfig /all shows DNS server configured as 192.168.1.254"", ""Server0 IP address is 192.168.2.10"", ""Direct ping to 192.168.2.10 succeeds (4/4)""]",Layer 7,DNS configuration,nslookup,"[""Update the DNS server address on PC0 or within the DHCP pool options to point to 192.168.2.10"", ""Renew IP configuration on PC0 if using DHCP"", ""Verify domain name resolution using nslookup""]",True,SUCCESS
CASE-012,DHCP service is disabled on Server0,0.98,"[""PC0 requests DHCP but does not receive an IP address or gateway"", ""DHCP service on Server0 is disabled""]",Layer 7,DHCP service availability,Check Server0 DHCP service status,"[""Enable the DHCP service on Server0"", ""Renew the DHCP leases/configuration on PC0"", ""Verify PC0 receives IP address 192.168.1.100 and gateway 192.168.1.1""]",True,SUCCESS
CASE-013,The default gateway parameter in the DHCP pool on the DHCP server is misconfigured with 192.168.1.254,0.95,"[""ipconfig /all shows default gateway as 192.168.1.254"", ""DHCP server 192.168.2.10 successfully assigns IP address 192.168.1.100"", ""PC receives incorrect default gateway from DHCP""]",Layer 7,DHCP pool configuration,show running-config | section dhcp,"[""Access the DHCP server (192.168.2.10) or router DHCP pool settings"", ""Modify the default-router setting in the DHCP pool to the correct gateway IP address"", ""Release and renew the IP address configuration on PC0 using ipconfig /release and ipconfig /renew"", ""Verify PC0 receives the correct default gateway""]",True,SUCCESS
CASE-014,DHCP server is configured with an incorrect DNS server IP address (192.168.1.254),0.95,"[""ipconfig /all shows DNS server is configured as 192.168.1.254"", ""DHCP server providing configurations is 192.168.2.10"", ""User reports PC receives incorrect DNS server from DHCP""]",Layer 7,DHCP and DNS configuration,Check DHCP pool options on Server0 (192.168.2.10),"[""Open DHCP server settings on Server0 (192.168.2.10)"", ""Modify the DNS Server field in the DHCP pool pool configuration to the correct DNS server IP address"", ""Execute ipconfig /release and ipconfig /renew on PC0"", ""Verify updated DNS server settings using ipconfig /all""]",True,SUCCESS
CASE-015,Server0 default gateway (192.168.2.1) is configured on a different subnet than its IPv4 address (192.168.3.10/24),0.95,"[""Server0 IPv4 address is 192.168.3.10 with subnet mask 255.255.255.0"", ""Server0 default gateway is configured as 192.168.2.1"", ""Ping to 192.168.2.10 resulted in 100% packet loss""]",Layer 3,Server IPv4 addressing,ipconfig /all,"[""Update Server0 default gateway to an IP address within the 192.168.3.0/24 subnet (e.g., 192.168.3.1)"", ""Verify ping connectivity from Server0 to its default gateway"", ""Test end-to-end connectivity from PC0 (192.168.1.100) to Server0 (192.168.3.10)""]",True,SUCCESS
CASE-016,Server0 is configured with an incorrect default gateway,0.95,"[""Server0 cannot communicate with the remote network"", ""Server0 IP configuration shows an incorrect default gateway"", ""Communication through the router fails while local connectivity may work""]",Layer 3,Default Gateway,ipconfig /all,"[""Verify the correct router interface IP address for Server0's local subnet"", ""Update Server0's network settings with the correct default gateway IP address"", ""Test end-to-end connectivity by pinging PC0 across the router""]",True,SUCCESS
CASE-017,Incorrect subnet mask configured on Server0,0.92,"[""Server0 ipconfig shows IPv4 192.168.2.10 with subnet mask 255.255.255.224 and gateway 192.168.2.1"", ""Server0 can successfully ping default gateway 192.168.2.1 (4/4)"", ""PC0 ping to Server0 (192.168.2.10) fails with 100% packet loss""]",Layer 3,Server subnet mask configuration,show ip interface brief,"[""Verify the subnet mask configured on Router0's interface facing Server0"", ""Update Server0 subnet mask to match the subnet (e.g., 255.255.255.0)"", ""Re-test ping connectivity from PC0 to Server0""]",True,SUCCESS
CASE-018,Server0 default gateway is misconfigured as 192.168.2.254 instead of 192.168.2.1,0.95,"[""Server0 default gateway is configured as 192.168.2.254"", ""Server0 can ping 192.168.2.1 successfully"", ""PC0 ping to Server0 (192.168.2.10) fails with 100% packet loss""]",Layer 3,Default gateway,Verify router interface IP on Router0,"[""Change Server0 default gateway address to 192.168.2.1"", ""Test ping connectivity from PC0 to Server0 (192.168.2.10)""]",True,SUCCESS
CASE-019,Router interface GigabitEthernet0/1 is administratively down,0.98,"[""show ip interface brief indicates GigabitEthernet0/1 is administratively down/down"", ""Ping from PC0 to 192.168.2.10 results in 100% packet loss""]",Layer 3,Router interface availability,no shutdown,"[""Enter configuration mode on Router0"", ""Select interface GigabitEthernet0/1"", ""Issue the 'no shutdown' command to enable the interface"", ""Verify interface status is up/up and test ping connectivity from PC0 to Server0""]",True,SUCCESS
CASE-020,Switch port Fa0/1 is administratively shut down,0.98,"[""PC0 ping to gateway 192.168.1.1 resulted in 100% packet loss"", ""PC0 ping to server 192.168.2.10 resulted in 100% packet loss"", ""Switch0 Fa0/1 was administratively shut down""]",Layer 2,Switch interface availability,show interface FastEthernet0/1,"[""Log in to Switch0 and enter global configuration mode"", ""Navigate to interface FastEthernet0/1"", ""Execute the 'no shutdown' command"", ""Verify interface status is up/up and test ping connectivity from PC0""]",True,SUCCESS
CASE-021,Router interface GigabitEthernet0/0 is configured with an incorrect IP address (192.168.10.1 instead of 192.168.1.1),0.98,"[""Router G0/0 is configured as 192.168.10.1 instead of 192.168.1.1"", ""Ping to gateway 192.168.1.1 resulted in 100% packet loss"", ""Ping to server 192.168.2.10 resulted in 100% packet loss""]",Layer 3,Router interface IPv4 addressing,show ip interface brief,"[""Enter configuration mode on Router0 and select interface GigabitEthernet0/0"", ""Reconfigure IP address to 192.168.1.1 with the correct subnet mask"", ""Verify connectivity by pinging 192.168.1.1 and 192.168.2.10 from PC0""]",True,SUCCESS
CASE-022,Router0 interface GigabitEthernet0/1 is configured with an incorrect IP address (192.168.20.1) outside the Server0 subnet (192.168.2.0/24),0.95,"[""PC0 pings default gateway 192.168.1.1 successfully (4/4 replies)"", ""PC0 ping to Server0 (192.168.2.10) fails with Destination host unreachable"", ""Router0 G0/1 interface is configured with IP 192.168.20.1, placing it on a different subnet than Server0""]",Layer 3,Router interface IPv4 addressing,show ip interface brief,"[""Enter interface configuration mode for GigabitEthernet0/1 on Router0"", ""Assign a correct IPv4 address in the 192.168.2.0/24 subnet (e.g., ip address 192.168.2.1 255.255.255.0)"", ""Verify interface status is up and re-test ping from PC0 to Server0 (192.168.2.10)""]",True,SUCCESS
CASE-023,PC0 is configured with an IP address (192.168.3.100/24) on a different subnet than its default gateway (192.168.1.1/24),0.95,"[""PC0 IPv4 address is 192.168.3.100 with subnet mask 255.255.255.0"", ""Default gateway is set to 192.168.1.1"", ""Ping to gateway 192.168.1.1 failed with 100% packet loss"", ""Ping to server 192.168.2.10 failed with 100% packet loss""]",Layer 3,PC IPv4 addressing,ipconfig,"[""Change PC0 IPv4 address to a valid host address in the 192.168.1.0/24 subnet (e.g., 192.168.1.100)"", ""Verify subnet mask is set to 255.255.255.0 and default gateway is set to 192.168.1.1"", ""Test connectivity by pinging the default gateway 192.168.1.1 and Server0 at 192.168.2.10""]",True,SUCCESS
CASE-024,DNS service is disabled on Server0,0.98,"[""Ping 192.168.2.10 succeeds with 4/4 replies"", ""nslookup to DNS server 192.168.2.10 times out"", ""Server0 DNS Service is OFF""]",Layer 7,DNS service availability,Check Server0 DNS service status,"[""Enable the DNS service on Server0"", ""Verify host name entries are properly configured on Server0"", ""Test DNS resolution from PC0 using nslookup""]",True,SUCCESS
CASE-025,HTTP service is disabled on Server0,0.98,"[""Ping to 192.168.2.10 succeeds with 4/4 replies and 0% loss"", ""Web browser access to http://192.168.2.10 returns Server Reset Connection""]",Layer 7,HTTP service availability,Check HTTP service status on Server0,"[""Enable the HTTP service on Server0"", ""Open the Web Browser on PC0 and navigate to http://192.168.2.10"", ""Verify that the web page loads successfully""]",True,SUCCESS
CASE-026,DHCP service is disabled on the server,0.98,"[""PC0 is configured for DHCP but receives IPv4 address 0.0.0.0, subnet mask 0.0.0.0, and default gateway 0.0.0.0"", ""PC0 cannot obtain an IP address because the DHCP service is disabled""]",Layer 7,DHCP service availability,Check Server0 DHCP service status,"[""Enable the DHCP service on Server0 (192.168.2.10)"", ""Request/renew DHCP lease on PC0"", ""Verify PC0 receives a valid IP address, subnet mask, and default gateway""]",True,SUCCESS
CASE-027,The DHCP server pool is configured with an incorrect default gateway (192.168.1.254 instead of 192.168.1.1),0.95,"[""PC0 receives default gateway 192.168.1.254 instead of 192.168.1.1"", ""Ping to router interface 192.168.1.1 succeeds (4/4)"", ""Ping to remote server 192.168.2.10 fails (4/4)""]",Layer 3,DHCP default gateway configuration,show run | section dhcp,"[""Modify the DHCP pool configuration to set default-router to 192.168.1.1"", ""Renew the DHCP lease on PC0 to obtain the correct default gateway"", ""Verify IP reachability from PC0 to Server0 (192.168.2.10)""]",True,SUCCESS
CASE-028,DHCP pool is configured with an incorrect DNS server IP address (192.168.1.254),0.95,"[""PC0 receives DNS server address 192.168.1.254 via DHCP"", ""Ping to Server0 (192.168.2.10) succeeds (4/4)"", ""nslookup server.local times out against 192.168.1.254""]",Layer 7,DHCP DNS server configuration,show ip dhcp pool,"[""Update the DHCP pool configuration with the correct DNS server IP address"", ""Release and renew the DHCP lease on PC0"", ""Verify DNS resolution using nslookup server.local""]",True,SUCCESS
CASE-029,FTP service is disabled on Server0,0.98,"[""FTP connection to 192.168.2.10 returns Ftp peer reset"", ""Ping to 192.168.2.10 succeeds with 4/4 replies and 0% loss""]",Layer 7,FTP service availability,Check Server0 FTP service status,"[""Enable the FTP service on Server0"", ""Verify FTP service configuration and user permissions"", ""Test FTP connection from PC0 to 192.168.2.10""]",True,SUCCESS
CASE-030,The client is using invalid FTP credentials or the user account does not exist on the FTP server,0.95,"[""FTP connection reaches Server0 successfully"", ""Login fails with 'No such Account' after username and password entry""]",Layer 7,FTP authentication,Check Server0 FTP user accounts,"[""Verify the configured FTP user accounts on Server0"", ""Create the required FTP user account or correct the password on Server0"", ""Retry FTP login from PC0 with valid credentials""]",True,SUCCESS
CASE-031,FTP user does not have Read permission on the FTP server,0.97,"[""FTP login succeeds"", ""Directory listing works"", ""File download (get sampleFile.txt) fails with 550 permission denied""]",Layer 7,FTP file access permission,Check FTP user Read permission on Server0,"[""Enable Read permission for the FTP user on Server0"", ""Reconnect to the FTP server from PC0"", ""Retry downloading sampleFile.txt""]",True,SUCCESS
