case_id,expected_fault,concept_tag,detected_concepts,rule_findings,issues_found,comparison,status
CASE-015,Server0 is configured with an IP address from the wrong subnet (192.168.3.0/24) instead of 192.168.2.0/24,Server IPv4 addressing,"gateway, ip, subnet",Default gateway issue detected | IP addressing issue detected | Subnet configuration issue detected,3,MATCH,ISSUE_FOUND
CASE-016,Server0 has a wrong default gateway,Default Gateway,"gateway, routing",Default gateway issue detected | Routing issue detected,2,MATCH,ISSUE_FOUND
CASE-017,"Server0 has an incorrect subnet mask (255.255.255.224 instead of 255.255.255.0), causing incorrect subnet interpretation and preventing communication with PC0",Server subnet mask configuration,"gateway, ip, subnet",Default gateway issue detected | IP addressing issue detected | Subnet configuration issue detected,3,MATCH,ISSUE_FOUND
CASE-018,"Server0 is configured with an incorrect default gateway (192.168.2.254 instead of 192.168.2.1), preventing return traffic from reaching the remote PC",Server default gateway configuration,"gateway, ip, subnet",Default gateway issue detected | IP addressing issue detected | Subnet configuration issue detected,3,MATCH,ISSUE_FOUND
CASE-019,"Router GigabitEthernet0/1 is administratively shut down, disconnecting the 192.168.2.0/24 network from the router",Router interface availability,interface,Interface/port status issue detected,1,MATCH,ISSUE_FOUND
CASE-020,"PC-facing switch port Fa0/1 is administratively disabled, disconnecting PC0 from the network",Switch interface availability,interface,Interface/port status issue detected,1,MISMATCH,ISSUE_FOUND
CASE-021,"Router G0/0 has an incorrect IPv4 address, so the PC's 192.168.1.0/24 network no longer has its expected gateway",Router interface IPv4 addressing,routing,Routing issue detected,1,MATCH,ISSUE_FOUND
CASE-022,"Router G0/1 is configured with 192.168.20.1 instead of 192.168.2.1, disconnecting the server subnet from its expected router interface",Router interface IPv4 addressing,nat,NAT issue detected,1,MISMATCH,ISSUE_FOUND
CASE-023,PC0 is configured with an IP address from the wrong subnet (192.168.3.0/24) instead of the 192.168.1.0/24 LAN,PC IPv4 addressing,"gateway, ip, subnet",Default gateway issue detected | IP addressing issue detected | Subnet configuration issue detected,3,MATCH,ISSUE_FOUND
CASE-024,"Server0 DNS service is disabled, so clients can reach the server by IP but DNS queries cannot be processed",DNS service availability,dns,DNS issue detected,1,MATCH,ISSUE_FOUND
CASE-025,Server0 HTTP service is disabled while network connectivity to the server remains available,HTTP service availability,http,HTTP issue detected,1,MATCH,ISSUE_FOUND
CASE-026,"Server0 DHCP service is disabled, so PC0 cannot obtain a valid network configuration automatically",DHCP service availability,"gateway, ip, subnet, dhcp",Default gateway issue detected | IP addressing issue detected | Subnet configuration issue detected | DHCP issue detected,4,MATCH,ISSUE_FOUND
CASE-027,"DHCP pool distributes an invalid default gateway, preventing PC0 from routing traffic to the 192.168.2.0/24 network",DHCP default gateway configuration,gateway,Default gateway issue detected,1,MATCH,ISSUE_FOUND
CASE-028,"DHCP pool distributes an incorrect DNS server address, preventing clients from resolving DNS names",DHCP DNS server configuration,dns,DNS issue detected,1,MATCH,ISSUE_FOUND
CASE-029,Server0 FTP service is disabled while IP connectivity to the server remains available,FTP service availability,ftp,FTP issue detected,1,MATCH,ISSUE_FOUND
CASE-030,"FTP service is available, but the supplied FTP account credentials are invalid",FTP authentication,ftp,FTP issue detected,1,MATCH,ISSUE_FOUND
CASE-031,The FTP account can connect and list files but does not have Read permission for file downloads,FTP file access permission,ftp,FTP issue detected,1,MATCH,ISSUE_FOUND
