case_id,ai_diagnosis,ai_confidence,ai_evidence,ai_osi_layer,ai_concept,ai_next_command,rule_finding,expected_fault,human_decision,corrected_diagnosis,reviewer_note,review_timestamp
CASE-011,Incorrect DNS server IP address configured on PC0 or distributed by DHCP server,0.92,"[""ipconfig /all shows DNS server configured as 192.168.1.254"", ""Server0 IP address is 192.168.2.10"", ""Direct ping to 192.168.2.10 succeeds (4/4)""]",Layer 7,DNS configuration,nslookup,Default gateway issue detected | IP addressing issue detected | DHCP issue detected | DNS issue detected,"PC0 is configured with an incorrect DNS server address (192.168.1.254 instead of 192.168.2.10), which can cause hostname resolution failures",Accepted,Incorrect DNS server IP address configured on PC0 or distributed by DHCP server,Human reviewer accepted the Gemini diagnosis because it agrees with the case evidence and expected fault.,2026-08-19T15:36:20
CASE-012,DHCP service is disabled on Server0,0.98,"[""PC0 requests DHCP but does not receive an IP address or gateway"", ""DHCP service on Server0 is disabled""]",Layer 7,DHCP service availability,Check Server0 DHCP service status,Default gateway issue detected | DHCP issue detected,"DHCP service is unavailable on Server0, so PC0 cannot obtain a valid network configuration automatically",Accepted,DHCP service is disabled on Server0,Human reviewer accepted the Gemini diagnosis because it agrees with the case evidence and expected fault.,2026-08-19T15:36:20
CASE-013,The default gateway parameter in the DHCP pool on the DHCP server is misconfigured with 192.168.1.254,0.95,"[""ipconfig /all shows default gateway as 192.168.1.254"", ""DHCP server 192.168.2.10 successfully assigns IP address 192.168.1.100"", ""PC receives incorrect default gateway from DHCP""]",Layer 7,DHCP pool configuration,show running-config | section dhcp,Default gateway issue detected | IP addressing issue detected | Subnet configuration issue detected | DHCP issue detected,DHCP pool is configured with an incorrect default gateway (192.168.1.254 instead of 192.168.1.1),Accepted,The default gateway parameter in the DHCP pool on the DHCP server is misconfigured with 192.168.1.254,Human reviewer accepted the Gemini diagnosis because it agrees with the case evidence and expected fault.,2026-08-19T15:36:20
CASE-014,DHCP server is configured with an incorrect DNS server IP address (192.168.1.254),0.95,"[""ipconfig /all shows DNS server is configured as 192.168.1.254"", ""DHCP server providing configurations is 192.168.2.10"", ""User reports PC receives incorrect DNS server from DHCP""]",Layer 7,DHCP and DNS configuration,Check DHCP pool options on Server0 (192.168.2.10),Default gateway issue detected | IP addressing issue detected | Subnet configuration issue detected | DHCP issue detected | DNS issue detected,"DHCP pool is configured with an incorrect DNS server address (192.168.1.254 instead of the intended DNS server), causing incorrect DNS configuration to be assigned to clients",Accepted,DHCP server is configured with an incorrect DNS server IP address (192.168.1.254),Human reviewer accepted the Gemini diagnosis because it agrees with the case evidence and expected fault.,2026-08-19T15:36:20
CASE-015,Server0 default gateway (192.168.2.1) is configured on a different subnet than its IPv4 address (192.168.3.10/24),0.95,"[""Server0 IPv4 address is 192.168.3.10 with subnet mask 255.255.255.0"", ""Server0 default gateway is configured as 192.168.2.1"", ""Ping to 192.168.2.10 resulted in 100% packet loss""]",Layer 3,Server IPv4 addressing,ipconfig /all,Default gateway issue detected | IP addressing issue detected | Subnet configuration issue detected,Server0 is configured with an IP address from the wrong subnet (192.168.3.0/24) instead of 192.168.2.0/24,Edited,Server0 is configured with an IP address from the wrong subnet (192.168.3.0/24) instead of 192.168.2.0/24,Human reviewer edited the Gemini diagnosis because it did not agree with the expected fault.,2026-08-19T15:36:20
CASE-016,Server0 is configured with an incorrect default gateway,0.95,"[""Server0 cannot communicate with the remote network"", ""Server0 IP configuration shows an incorrect default gateway"", ""Communication through the router fails while local connectivity may work""]",Layer 3,Default Gateway,ipconfig /all,Default gateway issue detected | Routing issue detected,Server0 has a wrong default gateway,Accepted,Server0 is configured with an incorrect default gateway,Human reviewer accepted the Gemini diagnosis because it agrees with the case evidence and expected fault.,2026-08-19T15:36:20
CASE-017,Incorrect subnet mask configured on Server0,0.92,"[""Server0 ipconfig shows IPv4 192.168.2.10 with subnet mask 255.255.255.224 and gateway 192.168.2.1"", ""Server0 can successfully ping default gateway 192.168.2.1 (4/4)"", ""PC0 ping to Server0 (192.168.2.10) fails with 100% packet loss""]",Layer 3,Server subnet mask configuration,show ip interface brief,Default gateway issue detected | IP addressing issue detected | Subnet configuration issue detected,"Server0 has an incorrect subnet mask (255.255.255.224 instead of 255.255.255.0), causing incorrect subnet interpretation and preventing communication with PC0",Accepted,Incorrect subnet mask configured on Server0,Human reviewer accepted the Gemini diagnosis because it agrees with the case evidence and expected fault.,2026-08-19T15:36:20
CASE-018,Server0 default gateway is misconfigured as 192.168.2.254 instead of 192.168.2.1,0.95,"[""Server0 default gateway is configured as 192.168.2.254"", ""Server0 can ping 192.168.2.1 successfully"", ""PC0 ping to Server0 (192.168.2.10) fails with 100% packet loss""]",Layer 3,Default gateway,Verify router interface IP on Router0,Default gateway issue detected | IP addressing issue detected | Subnet configuration issue detected,"Server0 is configured with an incorrect default gateway (192.168.2.254 instead of 192.168.2.1), preventing return traffic from reaching the remote PC",Accepted,Server0 default gateway is misconfigured as 192.168.2.254 instead of 192.168.2.1,Human reviewer accepted the Gemini diagnosis because it agrees with the case evidence and expected fault.,2026-08-19T15:36:20
CASE-019,Router interface GigabitEthernet0/1 is administratively down,0.98,"[""show ip interface brief indicates GigabitEthernet0/1 is administratively down/down"", ""Ping from PC0 to 192.168.2.10 results in 100% packet loss""]",Layer 3,Router interface availability,no shutdown,Interface/port status issue detected,"Router GigabitEthernet0/1 is administratively shut down, disconnecting the 192.168.2.0/24 network from the router",Accepted,Router interface GigabitEthernet0/1 is administratively down,Human reviewer accepted the Gemini diagnosis because it agrees with the case evidence and expected fault.,2026-08-19T15:36:20
CASE-020,Switch port Fa0/1 is administratively shut down,0.98,"[""PC0 ping to gateway 192.168.1.1 resulted in 100% packet loss"", ""PC0 ping to server 192.168.2.10 resulted in 100% packet loss"", ""Switch0 Fa0/1 was administratively shut down""]",Layer 2,Switch interface availability,show interface FastEthernet0/1,Interface/port status issue detected,"PC-facing switch port Fa0/1 is administratively disabled, disconnecting PC0 from the network",Edited,"PC-facing switch port Fa0/1 is administratively disabled, disconnecting PC0 from the network",Human reviewer edited the Gemini diagnosis because it did not agree with the expected fault.,2026-08-19T15:36:20
CASE-021,Router interface GigabitEthernet0/0 is configured with an incorrect IP address (192.168.10.1 instead of 192.168.1.1),0.98,"[""Router G0/0 is configured as 192.168.10.1 instead of 192.168.1.1"", ""Ping to gateway 192.168.1.1 resulted in 100% packet loss"", ""Ping to server 192.168.2.10 resulted in 100% packet loss""]",Layer 3,Router interface IPv4 addressing,show ip interface brief,Routing issue detected,"Router G0/0 has an incorrect IPv4 address, so the PC's 192.168.1.0/24 network no longer has its expected gateway",Accepted,Router interface GigabitEthernet0/0 is configured with an incorrect IP address (192.168.10.1 instead of 192.168.1.1),Human reviewer accepted the Gemini diagnosis because it agrees with the case evidence and expected fault.,2026-08-19T15:36:20
CASE-022,Router0 interface GigabitEthernet0/1 is configured with an incorrect IP address (192.168.20.1) outside the Server0 subnet (192.168.2.0/24),0.95,"[""PC0 pings default gateway 192.168.1.1 successfully (4/4 replies)"", ""PC0 ping to Server0 (192.168.2.10) fails with Destination host unreachable"", ""Router0 G0/1 interface is configured with IP 192.168.20.1, placing it on a different subnet than Server0""]",Layer 3,Router interface IPv4 addressing,show ip interface brief,NAT issue detected,"Router G0/1 is configured with 192.168.20.1 instead of 192.168.2.1, disconnecting the server subnet from its expected router interface",Edited,"Router G0/1 is configured with 192.168.20.1 instead of 192.168.2.1, disconnecting the server subnet from its expected router interface",Human reviewer edited the Gemini diagnosis because it did not agree with the expected fault.,2026-08-19T15:36:20
CASE-023,PC0 is configured with an IP address (192.168.3.100/24) on a different subnet than its default gateway (192.168.1.1/24),0.95,"[""PC0 IPv4 address is 192.168.3.100 with subnet mask 255.255.255.0"", ""Default gateway is set to 192.168.1.1"", ""Ping to gateway 192.168.1.1 failed with 100% packet loss"", ""Ping to server 192.168.2.10 failed with 100% packet loss""]",Layer 3,PC IPv4 addressing,ipconfig,Default gateway issue detected | IP addressing issue detected | Subnet configuration issue detected,PC0 is configured with an IP address from the wrong subnet (192.168.3.0/24) instead of the 192.168.1.0/24 LAN,Accepted,PC0 is configured with an IP address (192.168.3.100/24) on a different subnet than its default gateway (192.168.1.1/24),Human reviewer accepted the Gemini diagnosis because it agrees with the case evidence and expected fault.,2026-08-19T15:36:20
CASE-024,DNS service is disabled on Server0,0.98,"[""Ping 192.168.2.10 succeeds with 4/4 replies"", ""nslookup to DNS server 192.168.2.10 times out"", ""Server0 DNS Service is OFF""]",Layer 7,DNS service availability,Check Server0 DNS service status,DNS issue detected,"Server0 DNS service is disabled, so clients can reach the server by IP but DNS queries cannot be processed",Accepted,DNS service is disabled on Server0,Human reviewer accepted the Gemini diagnosis because it agrees with the case evidence and expected fault.,2026-08-19T15:36:20
CASE-025,HTTP service is disabled on Server0,0.98,"[""Ping to 192.168.2.10 succeeds with 4/4 replies and 0% loss"", ""Web browser access to http://192.168.2.10 returns Server Reset Connection""]",Layer 7,HTTP service availability,Check HTTP service status on Server0,HTTP issue detected,Server0 HTTP service is disabled while network connectivity to the server remains available,Edited,Server0 HTTP service is disabled while network connectivity to the server remains available,Human reviewer edited the Gemini diagnosis because it did not agree with the expected fault.,2026-08-19T15:36:20
CASE-026,DHCP service is disabled on the server,0.98,"[""PC0 is configured for DHCP but receives IPv4 address 0.0.0.0, subnet mask 0.0.0.0, and default gateway 0.0.0.0"", ""PC0 cannot obtain an IP address because the DHCP service is disabled""]",Layer 7,DHCP service availability,Check Server0 DHCP service status,Default gateway issue detected | IP addressing issue detected | Subnet configuration issue detected | DHCP issue detected,"Server0 DHCP service is disabled, so PC0 cannot obtain a valid network configuration automatically",Accepted,DHCP service is disabled on the server,Human reviewer accepted the Gemini diagnosis because it agrees with the case evidence and expected fault.,2026-08-19T15:36:20
CASE-027,The DHCP server pool is configured with an incorrect default gateway (192.168.1.254 instead of 192.168.1.1),0.95,"[""PC0 receives default gateway 192.168.1.254 instead of 192.168.1.1"", ""Ping to router interface 192.168.1.1 succeeds (4/4)"", ""Ping to remote server 192.168.2.10 fails (4/4)""]",Layer 3,DHCP default gateway configuration,show run | section dhcp,Default gateway issue detected,"DHCP pool distributes an invalid default gateway, preventing PC0 from routing traffic to the 192.168.2.0/24 network",Accepted,The DHCP server pool is configured with an incorrect default gateway (192.168.1.254 instead of 192.168.1.1),Human reviewer accepted the Gemini diagnosis because it agrees with the case evidence and expected fault.,2026-08-19T15:36:20
CASE-028,DHCP pool is configured with an incorrect DNS server IP address (192.168.1.254),0.95,"[""PC0 receives DNS server address 192.168.1.254 via DHCP"", ""Ping to Server0 (192.168.2.10) succeeds (4/4)"", ""nslookup server.local times out against 192.168.1.254""]",Layer 7,DHCP DNS server configuration,show ip dhcp pool,DNS issue detected,"DHCP pool distributes an incorrect DNS server address, preventing clients from resolving DNS names",Accepted,DHCP pool is configured with an incorrect DNS server IP address (192.168.1.254),Human reviewer accepted the Gemini diagnosis because it agrees with the case evidence and expected fault.,2026-08-19T15:36:20
CASE-029,FTP service is disabled on Server0,0.98,"[""FTP connection to 192.168.2.10 returns Ftp peer reset"", ""Ping to 192.168.2.10 succeeds with 4/4 replies and 0% loss""]",Layer 7,FTP service availability,Check Server0 FTP service status,FTP issue detected,Server0 FTP service is disabled while IP connectivity to the server remains available,Edited,Server0 FTP service is disabled while IP connectivity to the server remains available,Human reviewer edited the Gemini diagnosis because it did not agree with the expected fault.,2026-08-19T15:36:20
CASE-030,The client is using invalid FTP credentials or the user account does not exist on the FTP server,0.95,"[""FTP connection reaches Server0 successfully"", ""Login fails with 'No such Account' after username and password entry""]",Layer 7,FTP authentication,Check Server0 FTP user accounts,FTP issue detected,"FTP service is available, but the supplied FTP account credentials are invalid",Edited,"FTP service is available, but the supplied FTP account credentials are invalid",Human reviewer edited the Gemini diagnosis because it did not agree with the expected fault.,2026-08-19T15:36:20
CASE-031,FTP user does not have Read permission on the FTP server,0.97,"[""FTP login succeeds"", ""Directory listing works"", ""File download (get sampleFile.txt) fails with 550 permission denied""]",Layer 7,FTP file access permission,Check FTP user Read permission on Server0,FTP issue detected,The FTP account can connect and list files but does not have Read permission for file downloads,Edited,The FTP account can connect and list files but does not have Read permission for file downloads,Human reviewer edited the Gemini diagnosis because it did not agree with the expected fault.,2026-08-19T15:36:20
